is Elon Musk,created at,source,possibly sensitive,lang,has_text,has_link,has_hashtag,has_at,has_emoji,sentiment,subjectivity,retweet count,reply count,like count,quote count
1,2022-04-07 08:22:22+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,108909,33039,1133755,12082
1,2022-04-07 08:20:08+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,19960,9602,328788,1767
1,2022-04-07 06:17:19+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,4838,3497,78416,533
1,2022-04-07 06:16:04+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,3982,3123,71315,399
1,2022-04-07 06:14:07+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,7464,5245,123774,542
1,2022-04-07 05:34:19+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,3673,3671,93197,219
1,2022-04-07 05:29:24+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.3125,0.75,9448,8829,162369,735
1,2022-04-05 00:48:06+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,52016,74118,337946,27901
1,2022-04-04 16:04:49+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.8,0.7,53852,67074,923044,10653
1,2022-04-03 20:10:23+00:00,Twitter for iPhone,0,et,1,0,0,0,0,0.0,0.0,9482,15443,213150,1697
1,2022-04-03 09:14:40+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,12295,6742,177392,1130
1,2022-04-03 06:54:15+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,32812,18753,297940,2930
1,2022-04-03 06:19:29+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.8,0.9,4280,5085,68112,720
1,2022-04-03 05:45:19+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,816,1288,14691,92
1,2022-04-03 05:00:17+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,1078,1422,18286,101
1,2022-04-03 04:58:37+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.25,0.3333333333333333,3089,5005,65221,824
1,2022-04-03 04:52:11+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,1825,1398,51093,163
1,2022-04-03 04:50:49+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,9676,6712,135751,1098
1,2022-04-03 02:51:18+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,4984,5768,88126,1622
1,2022-04-03 01:55:38+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,10194,6085,145249,855
1,2022-04-03 01:52:31+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,22875,9641,241343,3214
1,2022-04-03 01:24:12+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,7759,3818,137894,423
1,2022-04-01 00:34:56+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,17178,9973,292268,1198
1,2022-03-30 01:43:14+00:00,Twitter for iPhone,0,en,1,0,0,0,0,1.0,0.75,7163,12224,81480,903
1,2022-03-28 22:05:21+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.1333333333333333,0.6,3770,4216,61734,360
1,2022-03-28 20:22:28+00:00,Twitter for iPhone,0,en,1,0,0,0,0,1.0,1.0,8076,8874,132292,895
1,2022-03-28 09:29:09+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,3180,4443,111770,247
1,2022-03-28 08:56:42+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,25006,10399,374362,2164
1,2022-03-28 08:12:34+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.5,0.5,12090,12192,163573,1321
1,2022-03-27 16:00:51+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,21548,27448,243800,2639
1,2022-03-26 17:54:02+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.1363636363636363,0.45454545454545453,25262,49778,326800,7514
1,2022-03-26 17:51:26+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.2,0.43333333333333335,31448,31355,251674,6206
1,2022-03-26 05:53:24+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,11899,9825,162550,901
1,2022-03-25 08:26:45+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.15,1.0,10006,10912,157027,1959
1,2022-03-25 07:34:52+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.2,0.55,42609,36070,183787,8926
1,2022-03-25 01:15:13+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,4566,2664,57691,332
1,2022-03-25 01:06:48+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.3999999999999999,0.4,13045,4980,194782,773
1,2022-03-24 23:55:26+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.625,0.5,3326,5794,55577,395
1,2022-03-24 23:53:23+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.25,0.75,6356,5344,110793,453
